9c:80:df:57:a4:77/2016-11-25 22:23:28.631969/-84
5c:51:88:24:b1:c5/2016-11-25 22:23:14.369495/-68
00:0d:f0:a2:9f:11/2016-11-25 22:34:16.908283/-256
5c:51:88:1d:76:f3/2016-11-25 22:34:39.441476/-74
84:10:0d:ba:4f:83/2016-11-25 22:35:40.061841/-74
24:da:9b:20:68:cc/2016-11-25 22:35:28.717754/-78
b0:9f:ba:31:69:11/2016-11-25 22:33:10.162940/-74
00:0d:f0:a2:9f:11/2016-11-25 22:38:17.337936/-256
5c:51:88:1d:76:f3/2016-11-25 22:38:41.967792/-72
24:da:9b:20:68:cc/2016-11-25 22:38:54.307037/-74
84:10:0d:ba:4f:83/2016-11-25 22:37:01.472103/-72
34:23:ba:fc:f3:e2/2016-11-25 22:37:27.492245/-74
b0:9f:ba:31:69:11/2016-11-25 22:38:14.688623/-78
94:01:c2:0f:91:eb/2016-11-25 22:39:22.349981/-74
00:0d:f0:a2:9f:11/2016-11-25 22:40:17.337953/-256
5c:51:88:1d:76:f3/2016-11-25 22:40:43.413808/-72
24:da:9b:20:68:cc/2016-11-25 22:40:38.438473/-72
34:23:ba:fc:f3:e2/2016-11-25 22:39:28.972403/-70
b0:9f:ba:31:69:11/2016-11-25 22:40:14.874769/-82
94:01:c2:0f:91:eb/2016-11-26 00:57:15.602451/-82
00:0d:f0:a2:9f:11/2016-11-26 01:02:32.054430/-256
5c:51:88:1d:76:f3/2016-11-26 01:00:34.366146/-70
94:01:c2:0f:91:eb/2016-11-26 00:58:34.539692/-84
00:0d:f0:a2:9f:11/2016-11-26 01:40:36.591426/-256
f8:e0:79:8e:bc:af/2016-11-26 01:42:16.667264/-72
00:0d:f0:a2:9f:11/2016-11-26 02:02:32.807350/-256
5c:51:88:1d:76:f3/2016-11-26 02:01:19.403379/-66
94:01:c2:0f:91:eb/2016-11-26 02:00:36.316252/-80
00:0d:f0:a2:9f:11/2016-11-26 02:56:38.203188/-256
5c:51:88:1d:76:f3/2016-11-26 02:58:06.822742/-70
94:01:c2:0f:91:eb/2016-11-26 02:54:35.876835/-82
00:0d:f0:a2:9f:11/2016-11-26 03:12:33.643248/-256
